2026-07-28T04:32:10Z	started	modelnorm: read traps, created /tmp/modelnorm worktree on branch modelnorm from main@dec1c3f
2026-07-28T04:37:25Z	finding	TRAP5 re-derived: std-nat is exactly c-independent (1.14e-13) and EXACTLY 0.0 for AALTO; standardized substitutes AALTO bigram tensor into all sources. native=T2_own+cond (resid 0.0). Shipped surfaces.py resolves .standardized ONLY.
2026-07-28T04:37:25Z	finding	Frozen ms/char re-derived via shipped keybo analyze on blend-v1: all 5 brief numbers match EXACTLY (armB 253.9006, lsb 254.6307, flagship-c3 254.9761, armA 256.8466, qwerty30m 264.1389)
2026-07-28T04:43:33Z	finding	STEP1: zero anchor n=100->n=1000 shifts <1 SE (max -0.979 SE, -1.70% of span, AALTO). Effective n independent models = 1.1672 of 3 (participation ratio; PC1=92.34%, kaiser=1) on a n=10000 HOMOGENEOUS random pool. rho: A-C 0.8310, A-P 0.8729, C-P 0.9502. Brief estimated ~2 independent votes; measured 1.17 on the wide pool.
2026-07-28T04:43:33Z	finding	DEFECT in brief trap-3 assertion: qwerty30m does NOT normalize to ~0. It is 0.00-0.20 percentile of a 1000-layout random pool (z=-2.5..-3.1) so normalizes to 0.50-0.62 (mid-scale). Using "qwerty~0" as the direction guard would fail on a CORRECTLY-signed impl.
2026-07-28T05:07:41Z	note	Launched detached step-2 anchor searches (POOL s1 resume + all 3 at seed2). Sentinel anchors-rc.txt, deadman ANCHORS-DONE 60m.
2026-07-28T05:17:47Z	finding	STEP2 anchors: two INDEPENDENT seeds (20260728/20260901) found the IDENTICAL champion for ALL THREE models — seed gap EXACTLY 0.0 ms, 0.0000% of span, 40/40 islands within 0.10%, champion last improved epoch 4-12 of 55. Normalization STABLE (perturbation 0.0 vs decision margin 0.003284). User-scheme "1" beats ceiling-fraction best-of-8 by 1.21% (AALTO) / 14.74% (COMMUNITY) / 15.19% (POOL) of span.
2026-07-28T05:22:12Z	finding	SEED FLOOR (COMMUNITY_BASE, the ONLY surviving per-seed family, 3 seeds, blend-v1): seed main effect is only 0.74% of SS on RAW ms / 0.83% on saved% — FLAGSHIP-1 iWeb 78-83% does NOT transfer to blend-v1 (2 orders of magnitude smaller). Paired floor 0.3914 saved% excluding the reference row (ratio 0.5632); including qwerty30m forces ratio EXACTLY 1.0000 which is a DEGENERACY (saved% is per-seed vs qwerty so the ref row is (0,0,0) and spread(X-qwerty)==spread(X)).
2026-07-28T05:22:12Z	finding	DELIVERABLE B: normalizing changes NO within-model ranking (affine, asserted) and NO ranking vs the raw MEAN of the 3 surfaces or raw mean saved% — P6 FAILED. It DOES change 2 pairs vs the scale-broken raw MIN (graphite>semimak, graphite>armA); blend gaps 0.0122/0.0241 are FAR below the 0.2319 conservative normalized floor, so neither clears it.
2026-07-28T05:46:32Z	completed	MODELNORM-1 complete. Anchors STABLE (2 seeds -> identical layout, gap 0.0 ms). Normalizing changes NO ranking (0 discordant vs raw mean AND vs ceiling-fraction anchoring; 2 vs raw min, neither clears the 0.231897 floor). Blend champion pctsk-reayfgdlm.niuobzvwxh,qj = 256.6268 ms/char vs armB 253.9006 (+2.7262). Sweep proves the weight is a preference. No dominator (n_ge 5/10). 21 unit tests rc=0. 11/18 predictions held, 5 failed, all reported. 8 local commits on branch modelnorm, no push.
2026-07-28T05:59:10Z	note	REFLECTION step 0 (child cascade): VERIFIED NO-OP — ticket modelnorm --roster reports "No children found (no roster, no state/modelnorm/children)". Zero subagents spawned, so nothing to cascade and no subtree reflection-proposal.md to merge.
2026-07-28T05:59:10Z	note	REFLECTION step 1 (state flush): memory.md, events.log, report.md, summary.md, artifacts/profiles-and-artifacts-index.md, reflection-proposal.md all refreshed. git status --short VERIFIED EMPTY at branch modelnorm HEAD 2ec398a. Steps 2-6 (knowledge pass) NOT done — parent owns it; no shared-KB write, no PREREGISTRATIONS.md edit, no critic subagents.
2026-07-28T05:59:10Z	finding	CORRECTION to my own tally: predictions are 11 held / 6 FAILED / 1 untestable, NOT the "5 failed / 2 untestable" in my DONE callback. Arithmetic slip (double-counted P15 "FAILED (half)" as untestable); NO verdict changed. Six failures: P1 P6 P13 P15 P17 P18. One untestable: P3.
2026-07-28T05:59:10Z	finding	PREDICTION FAILURES CLASSIFIED (a) world-differed vs (b) badly-posed, per parent request. (a) P6 + P1/P13 -> reduces to 2 DISTINCT FACTS (normalization re-orders nothing; AALTO near-saturated at 0.9879 of its own optimum). (b) P15 + P17/P18 -> reduces to 2 mis-posings (welded a verdict to a bound calibrated on a REDEFINED axis; stated a threshold inconsistent with its own candidate list). Only (a) is evidence about keyboards.
2026-07-28T05:59:10Z	finding	BLAS SHAPE-DISPATCH quantified over 400 batch lengths (not one probe): max rel 1.5946e-15 = 7.2x float64 eps, mean 6.8675e-16, median 8.7658e-16, and 275 of 400 batch lengths (68.8%) show nonzero disagreement. Worst abs 2.4414e-04 ms vs tightest adjacent gap 1.0854e+05 ms = ratio 2.25e-09, so it can reorder NOTHING. Padded fix is BIT-EXACT: 0 of 400 lengths differ.
2026-07-28T05:59:10Z	finding	THIRD INSTANCE of the BLAS shape-dispatch class CONFIRMED in the repo (structural claim, not re-measured): noanchor-1/drivers/fast_eval.py:283-291 SixSurface.saved_batch does the same unpadded bincount-then-matmul (B,29791)@(29791,6) and its docstring asserts "identical to the gather to <1e-11" i.e. consumes it as shape-invariant. normfloor_batch (L304-307) routes through it, so the ceiling-fraction normalized floor — a HEADLINE dominance axis — inherits the shape dependence. Nothing wrong today (1e-11 is ~4 orders looser than the effect) but a future tightening or cross-batch-size artifact diff would read noise as a finding.
2026-07-28T05:59:10Z	finding	PROPOSED STANDING RULE (parent asked for my wording): a resolution floor is a property of a (POOL x REPLICATE-STRUCTURE x SCALE x STATISTIC) quadruple, not of a metric or corpus. Quotable for a second design only if ALL FOUR match; else recompute, and print the quadruple beside every floor. Instances that broke each clause: POOL (reference layout in pool -> paired/unpaired ratio forced to EXACTLY 1.0000, vs 0.5632 excluded); REPLICATE-STRUCTURE (my 0.2319 bounds MODEL disagreement, the 0.3914 saved% bounds SEED noise — neither refines the other); SCALE (seed SS 0.74% raw ms vs 0.83% saved%, transforms are not variance-preserving); STATISTIC (p95 over few reps is ~the max, trap 46). FLAGSHIP-1 iWeb 78-83% fails SCALE+POOL -> 0.74% on blend-v1.
2026-07-28T05:59:10Z	note	PARENT CONFIRMATIONS: work registered as ### MODELNORM-1 pushed 181f324; branch harvested, bundle verified, HEAD 2ec398a; parent independently reproduced blend champion 256.63, COMMUNITY-solo 258.38, POOL-solo 257.66 and the qwerty30m [0.5649,0.4243,0.5239] defect — all matched. ⚠ DISCREPANCY: parent says "9 patches", I count 8 commits on dec1c3f..HEAD and on origin/main..HEAD. Likely a bundle boundary-ref off-by-one; authoritative count is 8.
2026-07-28T06:01:06Z	note	⚠ RE-HARVEST NEEDED: the reflection flush commit a3c96de moved HEAD past the parent verified bundle at 2ec398a (branch is now 9 commits on origin/main..HEAD, git status --short EMPTY). a3c96de carries the corrected 11/6/1 tally, the (a)/(b) failure classification, the 400-batch-length BLAS quantification, the third-instance citation at noanchor-1/fast_eval.py:283-291, and the floor-quadruple rule. State files under state/modelnorm/ are the other durable copy and are current.
